ProjectID,ProjectName,ProjectType,StartDate,EndDate,SiteAddress,SiteCity,SiteState,ClientName,ClientPhone,ClientEmail,ClientCity,SupervisorName,SupervisorPhone,WorkerName,WorkerPhone,WorkerSkills,WorkerCertifications,WorkerHourlyRate,SupplierName,SupplierCity,SupplierPhones,MaterialSupplied,MaterialUnitCost,EquipmentUsed,EquipmentRentalCost
P001,Downtown Plaza,Commercial,2024-01-10,2024-08-20,123 Main St,Boston,MA,Metro Corp,617-555-1000,contact@metrocorp.com,Boston,John Carter,617-555-2000,Mike Ross,617-555-3001,Carpentry|Framing,OSHA|First Aid,45,BuildPro Supplies,Boston,617-555-9000|617-555-9001,Concrete|Steel,120|300,Crane|Bulldozer,5000|3000
P001,Downtown Plaza,Commercial,2024-01-10,2024-08-20,123 Main St,Boston,MA,Metro Corp,617-555-1000,contact@metrocorp.com,Boston,John Carter,617-555-2000,Rachel Zane,617-555-3002,Electrical|Wiring,OSHA|Electrical License,50,BuildPro Supplies,Boston,617-555-9000|617-555-9001,Concrete|Steel,120|300,Crane|Bulldozer,5000|3000
P001,Downtown Plaza,Commercial,2024-01-10,2024-08-20,123 Main St,Boston,MA,Metro Corp,617-555-1000,contact@metrocorp.com,Boston,John Carter,617-555-2000,Harvey Specter,617-555-3003,Project Management|Planning,PMP|OSHA,70,SteelWorks Inc,Chicago,312-555-8000|312-555-8001,Steel Beams,500,Crane,5000
P002,Harbor Bridge,Infrastructure,2024-02-01,2025-01-30,78 Harbor Rd,Boston,MA,City Transit Auth,617-555-1100,info@cta.gov,Boston,Sarah Lee,617-555-2100,Mike Ross,617-555-3001,Carpentry|Concrete,OSHA|First Aid,45,Oceanic Materials,Miami,305-555-7000,Rebar|Concrete,200|110,Excavator|Crane,4000|5500
P002,Harbor Bridge,Infrastructure,2024-02-01,2025-01-30,78 Harbor Rd,Boston,MA,City Transit Auth,617-555-1100,info@cta.gov,Boston,Sarah Lee,617-555-2100,Tom Hardy,617-555-3004,Welding|Steel Fixing,OSHA|Welding Cert,48,Oceanic Materials,Miami,305-555-7000,Rebar|Concrete,200|110,Excavator|Crane,4000|5500
P003,Riverside Apartments,Residential,2024-03-15,2024-11-15,45 River Dr,Providence,RI,Retail Ventures,401-555-1200,contact@retailventures.com,Providence,David Kim,401-555-2200,Rachel Zane,617-555-3002,Electrical|Inspection,Electrical License|First Aid,50,BuildPro Supplies,Boston,617-555-9000|617-555-9001,Bricks|Cement,2|15,Mixer|Forklift,800|1200
P003,Riverside Apartments,Residential,2024-03-15,2024-11-15,45 River Dr,Providence,RI,Retail Ventures,401-555-1200,contact@retailventures.com,Providence,David Kim,401-555-2200,Tom Hardy,617-555-3004,Welding|Carpentry,Welding Cert|OSHA,48,BuildPro Supplies,Boston,617-555-9000|617-555-9001,Bricks|Cement,2|15,Mixer|Forklift,800|1200
P004,Green Tech Campus,Commercial,2024-04-01,2025-02-28,900 Innovation Way,New York,NY,FutureTech Ltd,212-555-1300,admin@futuretech.com,New York,John Carter,617-555-2000,Mike Ross,617-555-3001,Concrete|Framing,OSHA|First Aid,45,SteelWorks Inc,Chicago,312-555-8000|312-555-8001,Steel Beams|Glass Panels,500|250,Crane|Lift,6000|2000
P004,Green Tech Campus,Commercial,2024-04-01,2025-02-28,900 Innovation Way,New York,NY,FutureTech Ltd,212-555-1300,admin@futuretech.com,New York,John Carter,617-555-2000,Louis Litt,617-555-3005,Accounting|Procurement,MBA|First Aid,55,Global Glass Co,Seattle,206-555-6000,Glass Panels,250,Lift,2000
P005,Sunset Mall Expansion,Commercial,2024-05-10,2024-12-20,300 Sunset Blvd,Los Angeles,CA,Metro Corp,617-555-1000,contact@metrocorp.com,Boston,Sarah Lee,617-555-2100,Harvey Specter,617-555-3003,Planning|Management,PMP|OSHA,70,Pacific Materials,San Diego,619-555-6500,Concrete|Tiles,130|20,Bulldozer|Mixer,3200|1000
